Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kimono,Kimono,"<p>A stunning wrap-design kimono in a range of vibrant colours. Crafted from a soft silk/viscose blend, it drapes beautifully with a silky texture &mdash; effortless style for any occasion.</p><ul><li>Material: Silk/Viscose Blend</li><li>Origin: Handmade in India</li><li>Care: Machine wash cold. Warm iron.</li></ul>",Kaftan Queens,,Kimono,"women,kimono,limited",TRUE,Colour,Kimono Pink,,,,,KQ-kimono-kimono-pink,300,shopify,10,deny,manual,80.00,,TRUE,TRUE,,,,,,Kimono | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Pinkkimono2.heic?v=1761750652&width=1200,g,,,active
kimono,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Pinkkimono2.heic?v=1761750652&width=1200,1,Kimono - Kimono Pink,,,,,,,,
kimono,,,,,,,,Colour,Kimono Yellow,,,,,KQ-kimono-kimono-yellow,300,shopify,10,deny,manual,80.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Yellowkimono.heic?v=1761750652&width=1200,g,,,
kimono,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Yellowkimono.heic?v=1761750652&width=1200,2,Kimono - Kimono Yellow,,,,,,,,
kimono,,,,,,,,Colour,Kimono Fuchsia,,,,,KQ-kimono-kimono-fuchsia,300,shopify,10,deny,manual,80.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Fushiapinkkimono3.heic?v=1761750652&width=1200,g,,,
kimono,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Fushiapinkkimono3.heic?v=1761750652&width=1200,3,Kimono - Kimono Fuchsia,,,,,,,,
palazzo-trousers,Palazzo Trousers,"<p>New Palazzo trousers with a wide, comfortable stretch waist that sits beautifully on any silhouette. Wide, flowing leg in a delicate hand-printed floral cotton. Available in two lengths &mdash; Short or Long &mdash; so you can find the perfect fit.</p><ul><li>Material: Cotton</li><li>Origin: Hand-printed in India</li><li>Sizing: Inside leg to hem &mdash; Short 53 cm &middot; Long 66 cm</li><li>Care: Machine wash cold. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Trousers,"women,trousers,new",TRUE,Colour,Teal Blue & White Flower,Size,Short,,,KQ-palazzo-trousers-teal-blue-white-flower-short,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,Palazzo Trousers | Kaftan Queens,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/60ickvjo_image3.jpeg,g,,,active
palazzo-trousers,,,,,,,,Colour,Teal Blue & White Flower,Size,Long,,,KQ-palazzo-trousers-teal-blue-white-flower-long,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/60ickvjo_image3.jpeg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/60ickvjo_image3.jpeg,1,Palazzo Trousers - Teal Blue & White Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/40bg5a06_image0%20%281%29.jpeg,2,Palazzo Trousers - Teal Blue & White Flower,,,,,,,,
palazzo-trousers,,,,,,,,Colour,Pink & Blue Flower,Size,Short,,,KQ-palazzo-trousers-pink-blue-flower-short,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/tuejngv9_image0.jpeg,g,,,
palazzo-trousers,,,,,,,,Colour,Pink & Blue Flower,Size,Long,,,KQ-palazzo-trousers-pink-blue-flower-long,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/tuejngv9_image0.jpeg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/tuejngv9_image0.jpeg,3,Palazzo Trousers - Pink & Blue Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/mkfwviik_image1.jpeg,4,Palazzo Trousers - Pink & Blue Flower,,,,,,,,
palazzo-trousers,,,,,,,,Colour,Orange & Yellow Flower,Size,Short,,,KQ-palazzo-trousers-orange-yellow-flower-short,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/36vuwgr6_image1.jpeg,g,,,
palazzo-trousers,,,,,,,,Colour,Orange & Yellow Flower,Size,Long,,,KQ-palazzo-trousers-orange-yellow-flower-long,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/36vuwgr6_image1.jpeg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/36vuwgr6_image1.jpeg,5,Palazzo Trousers - Orange & Yellow Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/urki5462_image0.jpeg,6,Palazzo Trousers - Orange & Yellow Flower,,,,,,,,
hampi-linen-shirt,Hampi Linen Shirt,"<p>Our Hampi men's linen shirt with cotton contrast inside the collar and cuffs, and contrasting buttons and stitching. Tailored for relaxed everyday wear.</p><ul><li>Material: 100% Cotton</li><li>Origin: Made in India</li><li>Sizing: Arm length 53 cm &middot; Chest 58 cm</li><li>Care: Machine cool wash. Warm iron. Do not tumble dry.</li></ul>",Kaftan Queens,,Shirt,"men,shirt,new",TRUE,Colour,Navy Blue,,,,,KQ-hampi-linen-shirt-navy-blue,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,Hampi Linen Shirt | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Hampi_Navy_Blue_Shirt_2.jpg?v=1763043582&width=1200,g,,,active
