Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
yak-wool-scarf,Yak Wool Scarf,<p>A versatile scarf with a classic herringbone weave in a beautiful range of colours. Crafted from soft 100% yak wool &mdash; exceptional warmth and a refined finish.</p><ul><li>Material: 100% Yak Wool</li><li>Origin: Made in India</li><li>Care: Hand wash in cold water. Do not tumble dry.</li></ul>,Kaftan Queens,,Scarf,"accessories,scarf,yak-wool",TRUE,Colour,Turquoise,,,,,KQ-yak-wool-scarf-turquoise,200,shopify,5,deny,manual,65.00,,TRUE,TRUE,,,,,,Yak Wool Scarf | Kaftan Queens,,,g,,,active
yak-wool-scarf,,,,,,,,Colour,Beige,,,,,KQ-yak-wool-scarf-beige,200,shopify,5,deny,manual,65.00,,TRUE,TRUE,,,,,,,,,g,,,
yak-wool-scarf,,,,,,,,Colour,Black,,,,,KQ-yak-wool-scarf-black,200,shopify,5,deny,manual,65.00,,TRUE,TRUE,,,,,,,,,g,,,
yak-wool-scarf,,,,,,,,Colour,Blue,,,,,KQ-yak-wool-scarf-blue,200,shopify,5,deny,manual,65.00,,TRUE,TRUE,,,,,,,,,g,,,
yak-wool-scarf,,,,,,,,Colour,Green,,,,,KQ-yak-wool-scarf-green,200,shopify,5,deny,manual,65.00,,TRUE,TRUE,,,,,,,,,g,,,
yak-wool-scarf,,,,,,,,Colour,Brown,,,,,KQ-yak-wool-scarf-brown,200,shopify,5,deny,manual,65.00,,TRUE,TRUE,,,,,,,,,g,,,
yak-wool-scarf,,,,,,,,Colour,Purple,,,,,KQ-yak-wool-scarf-purple,200,shopify,5,deny,manual,65.00,,TRUE,TRUE,,,,,,,,,g,,,
